#Firmware: console20241002 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,56399.544,56399.544,0,0
1,0,0,1,56400.037,0.493,0,0
0,0,0,1,56400.596,0.559,0,0
1,0,0,1,56401.09,0.494,0,0
0,0,0,1,56401.637,0.547,0,0
1,0,0,1,56402.135,0.498,0,0
0,0,0,1,56402.655,0.52,0,0
1,0,0,1,56405.227,2.572,0,0
0,0,0,1,56405.757,0.53,0,0
1,0,0,1,56406.245,0.488,0,0
0,0,0,1,56406.771,0.526,0,0
1,0,0,1,56407.256,0.485,0,0
0,0,0,1,56407.788,0.532,0,0
1,0,0,1,56408.266,0.478,0,0
0,0,0,1,56408.805,0.539,0,0
1,0,0,1,56409.277,0.472,0,0
0,0,0,1,56409.817,0.54,0,0
1,0,0,1,56410.289,0.472,0,0
0,0,0,1,56410.826,0.537,0,0
1,0,0,1,56411.298,0.472,0,0
0,0,0,1,56411.835,0.537,0,0
1,0,0,1,56412.306,0.471,0,0
0,0,0,1,56412.843,0.537,0,0
1,0,0,1,56413.313,0.47,0,0
0,0,0,1,56413.851,0.538,0,0
1,0,0,1,56414.321,0.47,0,0
0,0,0,1,56414.858,0.537,0,0
1,0,0,1,56415.329,0.471,0,0
0,0,0,1,56415.864,0.535,0,0
1,0,0,1,56416.336,0.472,0,0
0,0,0,1,56416.871,0.535,0,0
1,0,0,1,56417.343,0.472,0,0
0,0,0,1,56417.879,0.536,0,0
1,0,0,1,56418.354,0.475,0,0
0,0,0,1,56418.889,0.535,1,0
1,0,0,1,56419.364,0.475,1,0
0,0,0,1,56419.899,0.535,1,1
1,0,0,1,56420.378,0.479,1,1
0,0,0,1,56420.912,0.534,1,1
1,0,0,1,56421.392,0.48,1,1
0,0,0,1,56421.928,0.536,0,1
1,0,0,1,56422.408,0.48,0,1
0,0,0,1,56422.945,0.537,0,1
1,0,0,1,56423.428,0.483,0,1
0,0,0,1,56423.964,0.536,0,0
1,0,0,1,56424.451,0.487,0,0
0,0,0,1,56424.982,0.531,0,0
1,0,0,1,56425.472,0.49,0,0
0,0,0,1,56426.004,0.532,0,0
1,0,0,1,56426.496,0.492,0,0
0,0,0,1,56427.023,0.527,0,0
1,0,0,1,56427.517,0.494,0,0
0,0,0,1,56428.044,0.527,0,0
1,0,0,1,56428.538,0.494,0,0
0,0,0,1,56429.063,0.525,0,0
1,0,0,1,56429.556,0.493,0,0
0,0,0,1,56430.081,0.525,0,0
1,0,0,1,56430.575,0.494,0,0
0,0,0,1,56431.099,0.524,0,0
1,0,0,1,56431.589,0.49,0,0
0,0,0,1,56432.114,0.525,0,0
1,0,0,1,56432.61,0.496,0,0
0,0,0,1,56433.121,0.511,0,0
1,0,0,1,56433.627,0.506,0,0
0,0,0,1,56434.134,0.507,0,0
1,0,0,1,56434.64,0.506,0,0
0,0,0,1,56435.149,0.509,0,0
1,0,0,1,56435.657,0.508,0,0
0,0,0,1,56436.164,0.507,0,0
1,0,0,1,56436.671,0.507,0,0
0,0,0,1,56437.183,0.512,0,0
1,0,0,1,56437.688,0.505,0,0
0,0,0,1,56438.199,0.511,0,0
1,0,0,1,56438.707,0.508,0,0
0,0,0,1,56439.217,0.51,0,0
1,0,0,1,56439.718,0.501,0,0
0,0,0,1,56440.235,0.517,0,0
1,0,0,1,56440.736,0.501,0,0
0,0,0,1,56441.257,0.521,0,0
1,0,0,1,56441.748,0.491,0,0
0,0,0,1,56442.267,0.519,0,0
1,0,0,1,56442.764,0.497,0,0
0,0,0,1,56443.284,0.52,0,0
1,0,0,1,56443.779,0.495,0,0
0,0,0,1,56444.301,0.522,0,0
1,0,0,1,56444.792,0.491,0,0
0,0,0,1,56445.319,0.527,0,0
1,0,0,1,56445.806,0.487,0,0
0,0,0,1,56446.335,0.529,0,0
1,0,0,1,56446.82,0.485,0,0
0,0,0,1,56447.351,0.531,0,0
1,0,0,1,56447.834,0.483,0,0
0,0,0,1,56448.367,0.533,0,0
1,0,0,1,56448.848,0.481,0,0
0,0,0,1,56449.385,0.537,0,0
1,0,0,1,56449.865,0.48,1,0
0,0,0,1,56450.403,0.538,1,1
1,0,0,1,56450.884,0.481,1,1
0,0,0,1,56451.426,0.542,1,1
