#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 921
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,0,423773.289,423773.289,0,0
1,1,0,0,423773.438,0.149,0,0
1,0,0,0,423773.438,0.0,0,0
1,1,0,0,423773.936,0.498,0,0
1,0,0,0,423773.936,0.0,0,0
0,0,0,0,922532.526,498758.59,0,0
1,0,0,0,925170.762,2638.236,0,0
1,1,0,0,925170.872,0.11,0,0
1,0,0,0,925170.872,0.0,0,0
1,1,0,0,925171.408,0.536,0,0
1,0,0,0,925171.408,0.0,0,0
0,0,0,0,1026819.744,101648.336,0,0
MARK 028
